"Question","A","B","C","D","Answer","Explanation"
"Find the limit: lim(x→2) (x² - 4)/(x - 2)","Undefined","4","2","0","B","Factor the numerator: x²-4 = (x-2)(x+2). Cancel (x-2) to get (x+2). Substituting x=2 gives 2+2=4."
"Evaluate: lim(x→0) (sin x)/x","Undefined","1","0","∞","B","This is a standard limit result: lim(x→0) sinx/x = 1. It is proved using the squeeze theorem."
"Find lim(x→∞) (3x² + 2x)/(x² - 5)","∞","3","2","0","B","Divide numerator and denominator by x² (highest power). As x→∞ the lower-order terms vanish leaving 3/1 = 3."
"Using the product rule, differentiate y = x² sin x","2x sin x + x² cos x","2x sin x - x² cos x","2 sin x + x cos x","x² sin x + 2x cos x","A","Product rule: (uv)' = u'v + uv'. Here u=x², v=sinx. So u'=2x, v'=cosx. Answer: 2x·sinx + x²·cosx."
"Differentiate y = x³ eˣ using the product rule","3x² eˣ + x³ eˣ","3x² eˣ","3x² eˣ - x³ eˣ","x³ eˣ","A","Product rule: (x³)'eˣ + x³(eˣ)' = 3x²eˣ + x³eˣ."
"Find dy/dx if y = ln(x² + 1)","2/(x² + 1)","2x/(x² + 1)","1/(x² + 1)","x/(x² + 1)","B","Chain rule: d/dx[ln(u)] = u'/u. Here u = x²+1 so u' = 2x. Answer: 2x/(x²+1)."
"Find the gradient of y = x³ - 3x + 2 at x = 1","6","3","−3","0","D","dy/dx = 3x² - 3. At x=1: 3(1)² - 3 = 3 - 3 = 0. The gradient is zero meaning x=1 is a turning point."
"Find the equation of the tangent to y = x² at the point (2, 4)","y = 2x - 4","y = 4x + 4","y = x + 4","y = 4x - 4","D","dy/dx = 2x. At x=2 the gradient is 4. Tangent: y - 4 = 4(x - 2) → y = 4x - 4."
"The equation of a circle with centre (0,0) and radius 5 is","x² + y² = 5","x² + y² = 25","(x+5)² + y² = 0","x² - y² = 25","B","Standard circle equation: x² + y² = r². With r=5 then r²=25. So x² + y² = 25."
"Find dy/dx by implicit differentiation if x² + y² = 25","−x/y","−y/x","x/y","y/x","A","Differentiate both sides: 2x + 2y(dy/dx) = 0. Solve: dy/dx = -2x/2y = -x/y."
